unitid,opeid
136251,4134900.0
431169,02218200  
365639,03077700  
431178,03208300  
201803,00747300  
103501,02541000  
431187,00927700  
103510,-2      
121017,02059800  
431196,03115300  
201821,00648900  
136288,00149915  
431202,02172100  
137403,01003500
169062,-2      
486929,4208602.0
103529,00800500  
431211,01261002
169071,03109701  
431220,01250500
169080,00224100  
201849,-2      
365693,00961700  
103255,-2      
201858,00302900  
454166,-2        
136330,00884900  
201867,01090600  
365709,02581800
431248,2133100.0
234650,02105300  
148335,00174600  
159258,462505.0
103583,-2      
431266,02242400  
136358,00151200  
431275,02098400  
234669,00376900  
431284,01248800  
142878,02349400  
149578,-2      
431293,03013400
234687,1309400.0
178031,-2        
201928,01034500  
398538,-2      
431309,03112100  
136400,01065200  
159267,462506.0
431318,02512700
234711,00377000  
